GeneID	cellType	Source	ClusterID
PTK2	DC1	Villani_S2	DC1
IDO2	DC1	Villani_S2	DC1
MTERFD3	DC1	Villani_S2	DC1
CD93	DC1	Villani_S2	DC1
DPP4	DC1	Villani_S2	DC1
SLC9A9	DC1	Villani_S2	DC1
FCRL6	DC1	Villani_S2	DC1
PDLIM7	DC1	Villani_S2	DC1
CYP2E1	DC1	Villani_S2	DC1
PDE4DIP	DC1	Villani_S2	DC1
LIMA1	DC1	Villani_S2	DC1
CTTNBP2NL	DC1	Villani_S2	DC1
PPM1M	DC1	Villani_S2	DC1
OSBPL3	DC1	Villani_S2	DC1
PLCD1	DC1	Villani_S2	DC1
CD38	DC1	Villani_S2	DC1
EHD4	DC1	Villani_S2	DC1
ACSS2	DC1	Villani_S2	DC1
LOC541471	DC1	Villani_S2	DC1
FUCA1	DC1	Villani_S2	DC1
SNX22	DC1	Villani_S2	DC1
APOL1	DC1	Villani_S2	DC1
DUSP10	DC1	Villani_S2	DC1
FAM160A2	DC1	Villani_S2	DC1
INF2	DC1	Villani_S2	DC1
DUSP2	DC1	Villani_S2	DC1
PALM2	DC1	Villani_S2	DC1
RAB11FIP4	DC1	Villani_S2	DC1
DSE	DC1	Villani_S2	DC1
FAM135A	DC1	Villani_S2	DC1
KCNK6	DC1	Villani_S2	DC1
PPM1H	DC1	Villani_S2	DC1
PAFAH1B3	DC1	Villani_S2	DC1
PDLIM1	DC1	Villani_S2	DC1
TGM2	DC1	Villani_S2	DC1
SCARF1	DC1	Villani_S2	DC1
CD40	DC1	Villani_S2	DC1
STX3	DC1	Villani_S2	DC1
WHAMMP3	DC1	Villani_S2	DC1
PRELID2	DC1	Villani_S2	DC1
PQLC2	DC1	Villani_S2	DC1
CD1C	DC2	Villani_S2	DC2
FCER1A	DC2	Villani_S2	DC2
CLEC10A	DC2	Villani_S2	DC2
ADAM8	DC2	Villani_S2	DC2
CD1D	DC2	Villani_S2	DC2
FCGR2B	DC2	Villani_S2	DC2
CLEC4A	DC2	Villani_S2	DC2
SLC2A3	DC2	Villani_S2	DC2
CD33	DC2	Villani_S2	DC2
ETS2	DC2	Villani_S2	DC2
CLIC2	DC2	Villani_S2	DC2
PEA15	DC2	Villani_S2	DC2
CACNA2D3	DC2	Villani_S2	DC2
CD1E	DC2	Villani_S2	DC2
MBOAT7	DC2	Villani_S2	DC2
C10ORF128	DC2	Villani_S2	DC2
NR4A2	DC2	Villani_S2	DC2
AGPAT9	DC2	Villani_S2	DC2
ENTPD1	DC2	Villani_S2	DC2
CD2	DC2	Villani_S2	DC2
PER1	DC2	Villani_S2	DC2
PID1	DC2	Villani_S2	DC2
AREG	DC2	Villani_S2	DC2
PTGS1	DC2	Villani_S2	DC2
SMA	DC2	Villani_S2	DC2
CLEC17A	DC2	Villani_S2	DC2
ITGA5	DC2	Villani_S2	DC2
CREB5	DC2	Villani_S2	DC2
PTAFR	DC2	Villani_S2	DC2
NOD2	DC2	Villani_S2	DC2
CCR6	DC2	Villani_S2	DC2
S100A9	DC3	Villani_S2	DC3
S100A8	DC3	Villani_S2	DC3
VCAN	DC3	Villani_S2	DC3
LYZ	DC3	Villani_S2	DC3
ANXA1	DC3	Villani_S2	DC3
PLBD1	DC3	Villani_S2	DC3
RNASE2	DC3	Villani_S2	DC3
FCER1A	DC3	Villani_S2	DC3
SLC2A3	DC3	Villani_S2	DC3
CD163	DC3	Villani_S2	DC3
CSF3R	DC3	Villani_S2	DC3
MNDA	DC3	Villani_S2	DC3
CD14	DC3	Villani_S2	DC3
NAIP	DC3	Villani_S2	DC3
CSTA	DC3	Villani_S2	DC3
FCN1	DC3	Villani_S2	DC3
CD1D	DC3	Villani_S2	DC3
FPR1	DC3	Villani_S2	DC3
F13A1	DC3	Villani_S2	DC3
CLEC10A	DC3	Villani_S2	DC3
CES1	DC3	Villani_S2	DC3
PID1	DC3	Villani_S2	DC3
S100A12	DC3	Villani_S2	DC3
MTMR11	DC3	Villani_S2	DC3
SMA	DC3	Villani_S2	DC3
LAT2	DC3	Villani_S2	DC3
RETN	DC3	Villani_S2	DC3
TMEM173	DC3	Villani_S2	DC3
AOAH	DC3	Villani_S2	DC3
RAB3D	DC3	Villani_S2	DC3
CD36	DC3	Villani_S2	DC3
MGST1	DC3	Villani_S2	DC3
TREM1	DC3	Villani_S2	DC3
HNMT	DC3	Villani_S2	DC3
CES1P1	DC3	Villani_S2	DC3
ADAM15	DC3	Villani_S2	DC3
IL13RA1	DC3	Villani_S2	DC3
MICAL2	DC3	Villani_S2	DC3
ITGA5	DC3	Villani_S2	DC3
CREB5	DC3	Villani_S2	DC3
IL1B	DC3	Villani_S2	DC3
NR4A2	DC3	Villani_S2	DC3
MPP7	DC3	Villani_S2	DC3
PTAFR	DC3	Villani_S2	DC3
HBEGF	DC3	Villani_S2	DC3
NFE2	DC3	Villani_S2	DC3
ASGR1	DC3	Villani_S2	DC3
BST1	DC3	Villani_S2	DC3
IL1RN	DC3	Villani_S2	DC3
NOD2	DC3	Villani_S2	DC3
NLRP3	DC3	Villani_S2	DC3
DQ575504	DC3	Villani_S2	DC3
LMNA	DC3	Villani_S2	DC3
C9ORF89	DC3	Villani_S2	DC3
IL27RA	DC3	Villani_S2	DC3
NLRP12	DC3	Villani_S2	DC3
RAB27A	DC3	Villani_S2	DC3
EREG	DC3	Villani_S2	DC3
LOC284454	DC3	Villani_S2	DC3
FCGR3A	DC4	Villani_S2	DC4
FTL	DC4	Villani_S2	DC4
SERPINA1	DC4	Villani_S2	DC4
LST1	DC4	Villani_S2	DC4
AIF1	DC4	Villani_S2	DC4
SAT1	DC4	Villani_S2	DC4
CTSS	DC4	Villani_S2	DC4
MTSS1	DC4	Villani_S2	DC4
TCF7L2	DC4	Villani_S2	DC4
AK307192	DC4	Villani_S2	DC4
PSAP	DC4	Villani_S2	DC4
FTH1	DC4	Villani_S2	DC4
IFITM3	DC4	Villani_S2	DC4
MS4A7	DC4	Villani_S2	DC4
LILRB2	DC4	Villani_S2	DC4
PILRA	DC4	Villani_S2	DC4
CSF1R	DC4	Villani_S2	DC4
ASAH1	DC4	Villani_S2	DC4
LRRC25	DC4	Villani_S2	DC4
HLA-E	DC4	Villani_S2	DC4
IFITM2	DC4	Villani_S2	DC4
LYST	DC4	Villani_S2	DC4
HCK	DC4	Villani_S2	DC4
C5AR1	DC4	Villani_S2	DC4
WARS	DC4	Villani_S2	DC4
PECAM1	DC4	Villani_S2	DC4
CTSL1	DC4	Villani_S2	DC4
S100A11	DC4	Villani_S2	DC4
CFD	DC4	Villani_S2	DC4
HK3	DC4	Villani_S2	DC4
MAFB	DC4	Villani_S2	DC4
TNFRSF1B	DC4	Villani_S2	DC4
DUSP6	DC4	Villani_S2	DC4
CASP1	DC4	Villani_S2	DC4
SIGLEC10	DC4	Villani_S2	DC4
FGR	DC4	Villani_S2	DC4
SLC7A7	DC4	Villani_S2	DC4
BIN2	DC4	Villani_S2	DC4
LILRA2	DC4	Villani_S2	DC4
SIDT2	DC4	Villani_S2	DC4
NEAT1	DC4	Villani_S2	DC4
PTPN6	DC4	Villani_S2	DC4
RHOC	DC4	Villani_S2	DC4
SLC11A1	DC4	Villani_S2	DC4
LOC200772	DC4	Villani_S2	DC4
TYROBP	DC4	Villani_S2	DC4
IFI30	DC4	Villani_S2	DC4
EMR2	DC4	Villani_S2	DC4
GIMAP4	DC4	Villani_S2	DC4
DUSP1	DC4	Villani_S2	DC4
TNFSF10	DC4	Villani_S2	DC4
GBP2	DC4	Villani_S2	DC4
FAM110A	DC4	Villani_S2	DC4
LY6E	DC4	Villani_S2	DC4
TXNIP	DC4	Villani_S2	DC4
TSC22D3	DC4	Villani_S2	DC4
HMOX1	DC4	Villani_S2	DC4
CD68	DC4	Villani_S2	DC4
CD52	DC4	Villani_S2	DC4
TBXAS1	DC4	Villani_S2	DC4
TMEM176B	DC4	Villani_S2	DC4
C10ORF54	DC4	Villani_S2	DC4
S100A4	DC4	Villani_S2	DC4
BCL2A1	DC4	Villani_S2	DC4
CD97	DC4	Villani_S2	DC4
PTPRC	DC4	Villani_S2	DC4
FAM26F	DC4	Villani_S2	DC4
FCN1	DC4	Villani_S2	DC4
ITGAL	DC4	Villani_S2	DC4
OAS1	DC4	Villani_S2	DC4
FYB	DC4	Villani_S2	DC4
ABI3	DC4	Villani_S2	DC4
ITM2B	DC4	Villani_S2	DC4
LILRA6	DC4	Villani_S2	DC4
TSPAN14	DC4	Villani_S2	DC4
CD79B	DC4	Villani_S2	DC4
LILRA5	DC4	Villani_S2	DC4
SLC31A2	DC4	Villani_S2	DC4
NFKBIZ	DC4	Villani_S2	DC4
LILRB1	DC4	Villani_S2	DC4
FCGR3B	DC4	Villani_S2	DC4
CD300LF	DC4	Villani_S2	DC4
SOD2	DC4	Villani_S2	DC4
CLEC7A	DC4	Villani_S2	DC4
MYO1G	DC4	Villani_S2	DC4
NAMPT	DC4	Villani_S2	DC4
CX3CR1	DC4	Villani_S2	DC4
RAP1B	DC4	Villani_S2	DC4
MSN	DC4	Villani_S2	DC4
FCGR2C	DC4	Villani_S2	DC4
RAB24	DC4	Villani_S2	DC4
GLUL	DC4	Villani_S2	DC4
GPBAR1	DC4	Villani_S2	DC4
CHST15	DC4	Villani_S2	DC4
CPPED1	DC4	Villani_S2	DC4
CDKN1C	DC4	Villani_S2	DC4
TAGLN	DC4	Villani_S2	DC4
TKT	DC4	Villani_S2	DC4
BID	DC4	Villani_S2	DC4
NCF2	DC4	Villani_S2	DC4
SMAP2	DC4	Villani_S2	DC4
CD300E	DC4	Villani_S2	DC4
EMR1	DC4	Villani_S2	DC4
TIMP1	DC4	Villani_S2	DC4
PTP4A3	DC4	Villani_S2	DC4
VMP1	DC4	Villani_S2	DC4
NINJ1	DC4	Villani_S2	DC4
POU2F2	DC4	Villani_S2	DC4
GNS	DC4	Villani_S2	DC4
RNF144B	DC4	Villani_S2	DC4
ICAM2	DC4	Villani_S2	DC4
STX11	DC4	Villani_S2	DC4
STXBP2	DC4	Villani_S2	DC4
FLNA	DC4	Villani_S2	DC4
NEURL	DC4	Villani_S2	DC4
PIK3AP1	DC4	Villani_S2	DC4
SH2D1B	DC4	Villani_S2	DC4
MARCKS	DC4	Villani_S2	DC4
SLC44A2	DC4	Villani_S2	DC4
TUBA1A	DC4	Villani_S2	DC4
DPEP2	DC4	Villani_S2	DC4
CXCL16	DC4	Villani_S2	DC4
HSPA7	DC4	Villani_S2	DC4
SSH2	DC4	Villani_S2	DC4
FCGR2A	DC4	Villani_S2	DC4
C3AR1	DC4	Villani_S2	DC4
DRAP1	DC4	Villani_S2	DC4
CYTIP	DC4	Villani_S2	DC4
RXRA	DC4	Villani_S2	DC4
LYN	DC4	Villani_S2	DC4
NAP1L1	DC4	Villani_S2	DC4
IFIT3	DC4	Villani_S2	DC4
IFITM1	DC4	Villani_S2	DC4
NAAA	DC4	Villani_S2	DC4
CD300A	DC4	Villani_S2	DC4
DOK3	DC4	Villani_S2	DC4
CALML4	DC4	Villani_S2	DC4
NADK	DC4	Villani_S2	DC4
PHTF2	DC4	Villani_S2	DC4
TESC	DC4	Villani_S2	DC4
MS4A4A	DC4	Villani_S2	DC4
ALOX5	DC4	Villani_S2	DC4
PAG1	DC4	Villani_S2	DC4
SDCBP	DC4	Villani_S2	DC4
MT2A	DC4	Villani_S2	DC4
P2RX1	DC4	Villani_S2	DC4
ZEB2	DC4	Villani_S2	DC4
ARAP1	DC4	Villani_S2	DC4
DOK2	DC4	Villani_S2	DC4
HSBP1	DC4	Villani_S2	DC4
LGALS3	DC4	Villani_S2	DC4
TTYH3	DC4	Villani_S2	DC4
C19ORF38	DC4	Villani_S2	DC4
WSB1	DC4	Villani_S2	DC4
CLEC4F	DC4	Villani_S2	DC4
GBP4	DC4	Villani_S2	DC4
HK1	DC4	Villani_S2	DC4
IRAK3	DC4	Villani_S2	DC4
BLVRA	DC4	Villani_S2	DC4
ATP1B3	DC4	Villani_S2	DC4
RNF149	DC4	Villani_S2	DC4
TCIRG1	DC4	Villani_S2	DC4
PRAM1	DC4	Villani_S2	DC4
SPN	DC4	Villani_S2	DC4
ZCCHC6	DC4	Villani_S2	DC4
CLEC12A	DC4	Villani_S2	DC4
CNIH4	DC4	Villani_S2	DC4
IFI6	DC4	Villani_S2	DC4
MAP3K1	DC4	Villani_S2	DC4
INSIG1	DC4	Villani_S2	DC4
SLC2A6	DC4	Villani_S2	DC4
DMXL2	DC4	Villani_S2	DC4
AK124399	DC4	Villani_S2	DC4
ALDH3B1	DC4	Villani_S2	DC4
TLR4	DC4	Villani_S2	DC4
C11ORF21	DC4	Villani_S2	DC4
C20ORF112	DC4	Villani_S2	DC4
CKB	DC4	Villani_S2	DC4
NPL	DC4	Villani_S2	DC4
NDUFB3	DC4	Villani_S2	DC4
RAB10	DC4	Villani_S2	DC4
TMC6	DC4	Villani_S2	DC4
ICAM4	DC4	Villani_S2	DC4
DNASE2	DC4	Villani_S2	DC4
C9ORF72	DC4	Villani_S2	DC4
GIMAP7	DC4	Villani_S2	DC4
KLF3	DC4	Villani_S2	DC4
DKFZP451J181	DC4	Villani_S2	DC4
TIAM1	DC4	Villani_S2	DC4
CDC42EP3	DC4	Villani_S2	DC4
STK10	DC4	Villani_S2	DC4
TLR2	DC4	Villani_S2	DC4
AGTRAP	DC4	Villani_S2	DC4
APOL6	DC4	Villani_S2	DC4
CDH23	DC4	Villani_S2	DC4
FPR1	DC4	Villani_S2	DC4
AL137655	DC4	Villani_S2	DC4
VAMP5	DC4	Villani_S2	DC4
IRF1	DC4	Villani_S2	DC4
SH3BP2	DC4	Villani_S2	DC4
YPEL2	DC4	Villani_S2	DC4
GRAMD1A	DC4	Villani_S2	DC4
ISG15	DC4	Villani_S2	DC4
LRP1	DC4	Villani_S2	DC4
MXD3	DC4	Villani_S2	DC4
AMPD2	DC4	Villani_S2	DC4
CD244	DC4	Villani_S2	DC4
GBP1	DC4	Villani_S2	DC4
LCP2	DC4	Villani_S2	DC4
ZFAND5	DC4	Villani_S2	DC4
HEG1	DC4	Villani_S2	DC4
LOC388312	DC4	Villani_S2	DC4
ARRB1	DC4	Villani_S2	DC4
FAM46A	DC4	Villani_S2	DC4
ABCC3	DC4	Villani_S2	DC4
GBP5	DC4	Villani_S2	DC4
SVIL	DC4	Villani_S2	DC4
ARRB2	DC4	Villani_S2	DC4
FAM45B	DC4	Villani_S2	DC4
LTA4H	DC4	Villani_S2	DC4
NFAM1	DC4	Villani_S2	DC4
CSK	DC4	Villani_S2	DC4
TBC1D8	DC4	Villani_S2	DC4
GNG2	DC4	Villani_S2	DC4
MYOF	DC4	Villani_S2	DC4
RAB37	DC4	Villani_S2	DC4
VPS53	DC4	Villani_S2	DC4
APOBEC3A	DC4	Villani_S2	DC4
ITGB1	DC4	Villani_S2	DC4
P2RY13	DC4	Villani_S2	DC4
C15ORF39	DC4	Villani_S2	DC4
DENND5A	DC4	Villani_S2	DC4
NBEAL2	DC4	Villani_S2	DC4
PLIN2	DC4	Villani_S2	DC4
PIK3IP1	DC4	Villani_S2	DC4
SCIMP	DC4	Villani_S2	DC4
TMPO	DC4	Villani_S2	DC4
KIAA0513	DC4	Villani_S2	DC4
C10ORF46	DC4	Villani_S2	DC4
CASP4	DC4	Villani_S2	DC4
FGD4	DC4	Villani_S2	DC4
IFNGR2	DC4	Villani_S2	DC4
PTGER2	DC4	Villani_S2	DC4
SAMSN1	DC4	Villani_S2	DC4
UBXN11	DC4	Villani_S2	DC4
TBCD	DC4	Villani_S2	DC4
VASP	DC4	Villani_S2	DC4
CCM2	DC4	Villani_S2	DC4
NLRP1	DC4	Villani_S2	DC4
GIMAP1	DC4	Villani_S2	DC4
NR4A1	DC4	Villani_S2	DC4
TNFRSF14	DC4	Villani_S2	DC4
MBD2	DC4	Villani_S2	DC4
SCPEP1	DC4	Villani_S2	DC4
DENND3	DC4	Villani_S2	DC4
IFIT2	DC4	Villani_S2	DC4
NECAP2	DC4	Villani_S2	DC4
PTGER4	DC4	Villani_S2	DC4
RASGRP4	DC4	Villani_S2	DC4
TMBIM1	DC4	Villani_S2	DC4
SIRPB1	DC4	Villani_S2	DC4
STK38	DC4	Villani_S2	DC4
EVL	DC4	Villani_S2	DC4
GIMAP2	DC4	Villani_S2	DC4
LIMS1	DC4	Villani_S2	DC4
FGD3	DC4	Villani_S2	DC4
SLA	DC4	Villani_S2	DC4
SULT1A1	DC4	Villani_S2	DC4
WDR11	DC4	Villani_S2	DC4
PSTPIP2	DC4	Villani_S2	DC4
PDLIM5	DC4	Villani_S2	DC4
RALB	DC4	Villani_S2	DC4
ABHD3	DC4	Villani_S2	DC4
ARRDC3	DC4	Villani_S2	DC4
KLF11	DC4	Villani_S2	DC4
TMTC1	DC4	Villani_S2	DC4
RAP1GAP2	DC4	Villani_S2	DC4
SNX18	DC4	Villani_S2	DC4
RAB3D	DC4	Villani_S2	DC4
ADRBK1	DC4	Villani_S2	DC4
ARHGEF3	DC4	Villani_S2	DC4
BACH1	DC4	Villani_S2	DC4
DDX60	DC4	Villani_S2	DC4
PIEZO1	DC4	Villani_S2	DC4
CMTM7	DC4	Villani_S2	DC4
IMPDH1	DC4	Villani_S2	DC4
TSPAN32	DC4	Villani_S2	DC4
DDX58	DC4	Villani_S2	DC4
CCPG1	DC4	Villani_S2	DC4
DDX60L	DC4	Villani_S2	DC4
PNPLA6	DC4	Villani_S2	DC4
UNC13D	DC4	Villani_S2	DC4
SYTL1	DC4	Villani_S2	DC4
CSGALNACT2	DC4	Villani_S2	DC4
TLE4	DC4	Villani_S2	DC4
SIRPB2	DC4	Villani_S2	DC4
UPP1	DC4	Villani_S2	DC4
ARAP2	DC4	Villani_S2	DC4
ERICH1	DC4	Villani_S2	DC4
PPM1F	DC4	Villani_S2	DC4
GPR155	DC4	Villani_S2	DC4
MPP1	DC4	Villani_S2	DC4
PELI1	DC4	Villani_S2	DC4
TMEM154	DC4	Villani_S2	DC4
L1TD1	DC4	Villani_S2	DC4
WDFY1	DC4	Villani_S2	DC4
FOXO1	DC4	Villani_S2	DC4
PLXNC1	DC4	Villani_S2	DC4
MCTP1	DC4	Villani_S2	DC4
AP2A1	DC4	Villani_S2	DC4
DNAJB1	DC4	Villani_S2	DC4
SWAP70	DC4	Villani_S2	DC4
TMEM11	DC4	Villani_S2	DC4
TMEM134	DC4	Villani_S2	DC4
CABP4	DC4	Villani_S2	DC4
LOC100133161	DC4	Villani_S2	DC4
ARL4A	DC4	Villani_S2	DC4
EHD1	DC4	Villani_S2	DC4
ACOT9	DC4	Villani_S2	DC4
KSR1	DC4	Villani_S2	DC4
KDM1B	DC4	Villani_S2	DC4
PDP1	DC4	Villani_S2	DC4
AK123771	DC4	Villani_S2	DC4
PITPNM1	DC4	Villani_S2	DC4
FAM126A	DC4	Villani_S2	DC4
MAGED2	DC4	Villani_S2	DC4
CAMK1	DC4	Villani_S2	DC4
IL12RB1	DC4	Villani_S2	DC4
PYGL	DC4	Villani_S2	DC4
CORO2A	DC4	Villani_S2	DC4
ZNFX1	DC4	Villani_S2	DC4
TYMP	DC4	Villani_S2	DC4
NUDT16	DC4	Villani_S2	DC4
SGPL1	DC4	Villani_S2	DC4
MEFV	DC4	Villani_S2	DC4
RELT	DC4	Villani_S2	DC4
PTPN13	DC4	Villani_S2	DC4
FCAR	DC4	Villani_S2	DC4
SASH1	DC4	Villani_S2	DC4
PLEKHO2	DC4	Villani_S2	DC4
BLOC1S3	DC4	Villani_S2	DC4
CAMKK2	DC4	Villani_S2	DC4
AXL	DC5	Villani_S2	DC5
PPP1R14A	DC5	Villani_S2	DC5
SIGLEC6	DC5	Villani_S2	DC5
CD22	DC5	Villani_S2	DC5
DAB2	DC5	Villani_S2	DC5
S100A10	DC5	Villani_S2	DC5
FAM105A	DC5	Villani_S2	DC5
MED12L	DC5	Villani_S2	DC5
ALDH2	DC5	Villani_S2	DC5
LTK	DC5	Villani_S2	DC5
DPYSL2	DC5	Villani_S2	DC5
LGMN	DC5	Villani_S2	DC5
IRF4	DC5	Villani_S2	DC5
SEPT6'	DC5	Villani_S2	DC5
PLAC8	DC5	Villani_S2	DC5
CCND3	DC5	Villani_S2	DC5
MYO1E	DC5	Villani_S2	DC5
SLC41A2	DC5	Villani_S2	DC5
SCN9A	DC5	Villani_S2	DC5
SIGLEC1	DC5	Villani_S2	DC5
CX3CR1	DC5	Villani_S2	DC5
NDRG1	DC5	Villani_S2	DC5
VASH1	DC5	Villani_S2	DC5
CD5	DC5	Villani_S2	DC5
BHLHE40	DC5	Villani_S2	DC5
SNRNP25	DC5	Villani_S2	DC5
USF2	DC5	Villani_S2	DC5
SLC20A1	DC5	Villani_S2	DC5
ATF5	DC5	Villani_S2	DC5
FAM129A	DC5	Villani_S2	DC5
KLF4	DC5	Villani_S2	DC5
RUNX2	DC5	Villani_S2	DC5
ARHGAP18	DC5	Villani_S2	DC5
APEX1	DC5	Villani_S2	DC5
ENTPD7	DC5	Villani_S2	DC5
SLC35C2	DC5	Villani_S2	DC5
CDH1	DC5	Villani_S2	DC5
GPR146	DC5	Villani_S2	DC5
BAIAP2	DC5	Villani_S2	DC5
CDKN1A	DC5	Villani_S2	DC5
UPK3A	DC5	Villani_S2	DC5
GNAQ	DC5	Villani_S2	DC5
THBD	DC5	Villani_S2	DC5
TNFSF12	DC5	Villani_S2	DC5
SOX4	DC5	Villani_S2	DC5
CXCR2	DC5	Villani_S2	DC5
HIP1	DC5	Villani_S2	DC5
STX18	DC5	Villani_S2	DC5
CTSW	DC5	Villani_S2	DC5
ATP2B4	DC5	Villani_S2	DC5
CD72	DC5	Villani_S2	DC5
MGLL	DC5	Villani_S2	DC5
SUSD1	DC5	Villani_S2	DC5
RNF141	DC5	Villani_S2	DC5
TNNI2	DC5	Villani_S2	DC5
GGTA1P	DC5	Villani_S2	DC5
C5ORF25	DC5	Villani_S2	DC5
PTGDS	DC5	Villani_S2	DC5
TSEN54	DC5	Villani_S2	DC5
KLF12	DC5	Villani_S2	DC5
MYH11	DC5	Villani_S2	DC5
TXN	DC5	Villani_S2	DC5
AK125727	DC5	Villani_S2	DC5
CD300LB	DC5	Villani_S2	DC5
SUCLA2	DC5	Villani_S2	DC5
BIN1	DC5	Villani_S2	DC5
MRPS6	DC5	Villani_S2	DC5
ZNF789	DC5	Villani_S2	DC5
RAD1	DC5	Villani_S2	DC5
PIM2	DC5	Villani_S2	DC5
PLA2G16	DC5	Villani_S2	DC5
TBC1D9	DC5	Villani_S2	DC5
ADAM33	DC5	Villani_S2	DC5
ZEB1	DC5	Villani_S2	DC5
CD300LG	DC5	Villani_S2	DC5
SLC4A3	DC5	Villani_S2	DC5
STAG3L4	DC5	Villani_S2	DC5
MECR	DC5	Villani_S2	DC5
COQ7	DC5	Villani_S2	DC5
RBL1	DC5	Villani_S2	DC5
CEP95	DC5	Villani_S2	DC5
RNASEL	DC5	Villani_S2	DC5
ACPP	DC5	Villani_S2	DC5
SP4	DC5	Villani_S2	DC5
LAX1	DC5	Villani_S2	DC5
GZMB	DC6	Villani_S2	DC6
IGJ	DC6	Villani_S2	DC6
AK128525	DC6	Villani_S2	DC6
SERPINF1	DC6	Villani_S2	DC6
ITM2C	DC6	Villani_S2	DC6
PLD4	DC6	Villani_S2	DC6
CCDC50	DC6	Villani_S2	DC6
IRF7	DC6	Villani_S2	DC6
PTPRS	DC6	Villani_S2	DC6
ALOX5AP	DC6	Villani_S2	DC6
TCF4	DC6	Villani_S2	DC6
BCL11A	DC6	Villani_S2	DC6
